,Bids,Asks
0,508.98429540321627,514.9842954032163
1,509.31681394792713,515.3168139479271
2,509.7499578407759,515.7499578407759
3,510.146639693632,516.146639693632
4,510.101335879639,516.101335879639
5,510.4730704873617,516.4730704873617
6,509.9618767330271,515.9618767330271
7,510.12348895951993,516.1234889595199
8,510.1786696519168,516.1786696519168
9,509.93322968408586,515.9332296840859
10,509.8467043348094,515.8467043348094
11,509.7615890460184,515.7615890460183
12,509.7323317080662,515.7323317080662
13,510.435359827366,516.435359827366
14,511.0673424689577,517.0673424689577
15,510.5564106967373,516.5564106967373
16,510.6132991934263,516.6132991934263
17,510.9539121298394,516.9539121298394
18,511.1360312851075,517.1360312851075
19,510.885547921896,516.885547921896
20,510.7322723731868,516.7322723731868
21,511.3455247709343,517.3455247709343
22,511.2007223611765,517.2007223611765
23,510.6733451122981,516.6733451122981
24,510.27901747448834,516.2790174744883
25,509.0626637786492,515.0626637786492
26,508.9951994093692,514.9951994093692
27,508.5921211355035,514.5921211355035
28,508.580368296637,514.5803682966371
29,507.8630771807698,513.8630771807698
30,507.891849441661,513.891849441661
31,507.5198420059469,513.5198420059469
32,507.3829826277369,513.382982627737
33,507.8356630066447,513.8356630066446
34,507.7926981239624,513.7926981239624
35,508.3505653622849,514.3505653622849
36,508.391470794399,514.3914707943991
37,508.9771834701815,514.9771834701814
38,509.2629203017469,515.2629203017469
39,509.59437548051176,515.5943754805118
40,511.0666959187115,517.0666959187115
41,511.2279298909573,517.2279298909573
42,511.1730074516751,517.1730074516751
43,511.27984589374535,517.2798458937453
44,511.8071639159677,517.8071639159676
45,512.3296169333211,518.3296169333211
46,512.2670394525068,518.2670394525068
47,512.1835324619616,518.1835324619616
48,511.3648387969391,517.3648387969391
49,510.71149680698034,516.7114968069803
50,511.4789957743284,517.4789957743284
51,510.74060001538953,516.7406000153895
52,510.8253801230675,516.8253801230675
53,510.44468713186393,516.4446871318639
54,510.4241217696839,516.4241217696839
55,510.6892263918624,516.6892263918623
56,510.78479589835786,516.7847958983579
57,511.21304495156687,517.2130449515669
58,511.4284754548131,517.4284754548131
59,511.7253515480888,517.7253515480888
60,512.0936193747342,518.0936193747342
61,511.9366394638892,517.9366394638892
62,511.1688303054025,517.1688303054025
63,511.9533143059661,517.953314305966
64,511.8029717608473,517.8029717608473
65,511.0347433944637,517.0347433944637
66,512.475470863661,518.475470863661
67,511.9852310213395,517.9852310213395
68,512.4121063659856,518.4121063659856
69,513.0725164466743,519.0725164466743
70,514.1735218763554,520.1735218763554
71,514.5400115558142,520.5400115558142
72,515.1976385521841,521.1976385521841
73,514.9700350072012,520.9700350072012
74,515.6538809604436,521.6538809604436
75,515.4351165755858,521.4351165755858
76,515.4022639971514,521.4022639971514
77,514.2660842209351,520.2660842209351
78,514.4388598081773,520.4388598081773
79,515.1687196081208,521.1687196081208
80,514.592968596944,520.592968596944
81,514.2313722067423,520.2313722067423
